device_id,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_step_active_bout_ev_half_sem_2017-01-18,f_steps_avg_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_step_active_bout_ev_half_sem_2017-01-18,f_steps_max_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_steps_ev_half_sem_2017-01-18,f_steps_max_steps_ev_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_step_active_bout_ev_half_sem_2017-01-18,f_steps_min_step_active_bout_ev_half_sem_2017-03-01,f_steps_num_active_bout_ev_half_sem_2017-01-18,f_steps_num_active_bout_ev_half_sem_2017-03-01,f_steps_num_samples_steps_ev_half_sem_2017-01-18,f_steps_num_samples_steps_ev_half_sem_2017-03-01,f_steps_num_sedentary_bout_ev_half_sem_2017-01-18,f_steps_num_sedentary_bout_ev_half_sem_2017-03-01,f_steps_sum_steps_ev_half_sem_2017-01-18,f_steps_sum_steps_ev_half_sem_2017-03-01
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,69,67.0,81,114.0,1219,1661.0,1150,1150.0,1190,2860.0,60801,107568.0,602,633.0,5,5.0,5,5.0,10,10.0,400,458.0,12096,16704.0,400,459.0,490462,764560.0
209854a0-471d-42fa-856f-54b5d1948481,99,63.0,59,120.0,2262,1453.0,1225,1235.0,1455,4035.0,116586,97214.0,605,614.0,5,5.0,5,5.0,10,10.0,380,493.0,12096,18144.0,380,493.0,862765,721263.0
24f7d497-1c92-4372-976d-81dd15d7b1fb,74,67.0,88,124.0,1875,1846.0,1215,1270.0,2565,2785.0,98252,101304.0,789,795.0,5,5.0,5,5.0,10,10.0,353,240.0,11520,9216.0,354,241.0,666302,445767.0
2cafda94-dca2-4401-ae3c-aa1bdf3ce6ca,63,49.0,86,106.0,1589,1165.0,1180,1225.0,1235,1240.0,83465,128143.0,631,609.0,5,5.0,5,5.0,10,10.0,403,581.0,12096,18144.0,404,582.0,646218,682606.0
2ef2702c-0c30-40d8-91c0-35ad8829465b,47,38.0,107,133.0,1083,862.0,1160,1190.0,1160,1250.0,85097,57544.0,685,793.0,5,5.0,5,5.0,10,10.0,389,526.0,12096,18144.0,390,527.0,426272,461417.0
2fb7fbc1-068f-4a54-a8ee-a41c99d0f7da,49,58.0,110,107.0,1118,2291.0,1145,1240.0,2560,1365.0,57057,115635.0,861,858.0,5,5.0,5,5.0,10,10.0,359,406.0,11520,13536.0,359,406.0,406694,938952.0
318f91af-9b11-42f5-bdcd-7c9e35761da5,58,31.0,129,167.0,1121,1118.0,1220,1120.0,1420,1365.0,101793,135198.0,635,674.0,5,5.0,5,5.0,10,10.0,322,455.0,12096,18144.0,322,456.0,362678,511884.0
31c395a9-0128-46df-a90c-73160f0854b4,63,39.0,94,126.0,987,899.0,1135,1135.0,1440,2590.0,71712,119983.0,605,630.0,5,5.0,5,5.0,10,10.0,373,432.0,11808,14400.0,373,433.0,375341,396707.0
3258d5c4-4f3f-4722-966a-1bd619c9229f,39,38.0,119,142.0,633,892.0,1135,1125.0,1310,1445.0,37348,109976.0,588,587.0,5,5.0,5,5.0,10,10.0,379,501.0,12096,18144.0,380,502.0,243243,455620.0
32d4b802-7471-49bd-ad59-e663b0d98682,59,72.0,117,104.0,1275,1707.0,1145,1180.0,1445,2700.0,76741,93396.0,636,654.0,5,5.0,5,5.0,10,10.0,276,439.0,9792,15552.0,276,439.0,355050,755342.0
